,nombre,serving_size,kcal,total_fat,saturated_fat,cholesterol,sodium,choline,folate,folic_acid,niacin,pantothenic_acid,riboflavin,thiamin,vitamin_a,vitamin_a_rae,carotene_alpha,carotene_beta,cryptoxanthin_beta,lutein_zeaxanthin,lucopene,vitamin_b12,vitamin_b6,vitamin_c,vitamin_d,vitamin_e,tocopherol_alpha,vitamin_k,calcium,copper,irom,magnesium,manganese,phosphorous,potassium,selenium,zink,protein,alanine,arginine,aspartic_acid,cystine,glutamic_acid,glycine,histidine,hydroxyproline,isoleucine,leucine,lysine,methionine,phenylalanine,proline,serine,threonine,tryptophan,tyrosine,valine,carbohydrate,fiber,sugars,fructose,galactose,glucose,lactose,maltose,sucrose,fat,saturated_fatty_acids,monounsaturated_fatty_acids,polyunsaturated_fatty_acids,fatty_acids_total_trans,alcohol,ash,caffeine,theobromine,water
449,Queso alcaravea,100 g,376,29g,19g,93mg,690.00 mg,0,18.00 mcg,0.00 mcg,0.180 mg,0.190 mg,0.450 mg,0.031 mg,1054.00 IU,271.00 mcg,0,0,0,0,0,0.27 mcg,0.074 mg,0.0 mg,0,0,0,0,673.00 mg,0.024 mg,0.64 mg,22.00 mg,0.021 mg,490.00 mg,93.00 mg,14.5 mcg,2.94 mg,25.18 g,0.711 g,0.952 g,1.618 g,0.126 g,6.160 g,0.439 g,0.884 g,0,1.563 g,2.412 g,2.095 g,0.659 g,1.326 g,2.838 g,1.472 g,0.896 g,0.324 g,1.216 g,1.682 g,3.06 g,0.0 g,0,0,0,0,0,0,0,29.20 g,18.584 g,8.275 g,0.830 g,93.00 mg,0,3.28 g,0,0,39.28 g
450,Aceite de germen de trigo,100 g,884,100g,19g,0,0.00 mg,20.0 mg,0.00 mcg,0.00 mcg,0.000 mg,0.000 mg,0.000 mg,0.000 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,0.00 mcg,0.000 mg,0.0 mg,0.00 IU,149.40 mg,149.40 mg,24.7 mcg,0.00 mg,0.000 mg,0.00 mg,0.00 mg,0,0.00 mg,0.00 mg,0.0 mcg,0.00 mg,0.00 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.00 g,0.0 g,0.00 g,0,0,0,0,0,0,100.00 g,18.800 g,15.100 g,61.700 g,0.00 mg,0.0 g,0.00 g,0.00 mg,0.00 mg,0.00 g
451,Pan de salvado de avena,100 g,236,4.4g,0.7g,0,353.00 mg,18.7 mg,81.00 mcg,56.00 mcg,4.831 mg,0.581 mg,0.346 mg,0.504 mg,5.00 IU,2.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,46.00 mcg,0,0.00 mcg,0.073 mg,0.0 mg,0.00 IU,0.44 mg,0.44 mg,1.2 mcg,65.00 mg,0.135 mg,3.12 mg,35.00 mg,0.779 mg,141.00 mg,147.00 mg,30.0 mcg,0.89 mg,10.40 g,0.370 g,0.445 g,0.547 g,0.234 g,3.162 g,0.395 g,0.225 g,0,0.399 g,0.733 g,0.297 g,0.179 g,0.518 g,1.055 g,0.502 g,0.299 g,0.131 g,0.324 g,0.461 g,39.80 g,4.5 g,7.70 g,0,0,0,0,0,0,4.40 g,0.697 g,1.590 g,1.694 g,0.00 mg,0.0 g,1.50 g,0.00 mg,0.00 mg,44.00 g
452,Sandía,100 g,30,0.2g,,0,1.00 mg,4.1 mg,3.00 mcg,0.00 mcg,0.178 mg,0.221 mg,0.021 mg,0.033 mg,569.00 IU,28.00 mcg,0.00 mcg,303.00 mcg,78.00 mcg,8.00 mcg,0,0.00 mcg,0.045 mg,8.1 mg,0.00 IU,0.05 mg,0.05 mg,0.1 mcg,7.00 mg,0.042 mg,0.24 mg,10.00 mg,0.038 mg,11.00 mg,112.00 mg,0.4 mcg,0.10 mg,0.61 g,0.017 g,0.059 g,0.039 g,0.002 g,0.063 g,0.010 g,0.006 g,0,0.019 g,0.018 g,0.062 g,0.006 g,0.015 g,0.024 g,0.016 g,0.027 g,0.007 g,0.012 g,0.016 g,7.55 g,0.4 g,6.20 g,3.36 g,0.00 g,1.58 g,0.00 g,0.06 g,1.21 g,0.15 g,0.016 g,0.037 g,0.050 g,0.00 mg,0.0 g,0.25 g,0.00 mg,0.00 mg,91.45 g
454,Espinacas,100 g,172,13g,6.1g,118mg,566.00 mg,61.0 mg,73.00 mcg,6.00 mcg,0.479 mg,0.438 mg,0.263 mg,0.082 mg,2891.00 IU,244.00 mcg,3.00 mcg,1493.00 mcg,2.00 mcg,3249.00 mcg,0,0.40 mcg,0.098 mg,7.3 mg,31.00 IU,0.93 mg,0.93 mg,126.5 mcg,165.00 mg,0.059 mg,1.19 mg,30.00 mg,0.269 mg,139.00 mg,231.00 mg,11.1 mcg,0.85 mg,7.89 g,0.323 g,0.366 g,0.627 g,0.095 g,1.556 g,0.216 g,0.229 g,0,0.450 g,0.708 g,0.558 g,0.207 g,0.406 g,0.646 g,0.467 g,0.308 g,0.108 g,0.350 g,0.505 g,5.90 g,0.7 g,1.85 g,0.05 g,0.04 g,0.08 g,1.51 g,0.03 g,0.06 g,12.95 g,6.091 g,3.021 g,0.610 g,118.00 mg,0.0 g,2.52 g,0.00 mg,0.00 mg,70.73 g
455,Tocino de cerdo,100 g,309,30g,4.6g,0,1465.00 mg,45.0 mg,42.00 mcg,0.00 mcg,7.560 mg,0.113 mg,0.481 mg,4.400 mg,88.00 IU,4.00 mcg,0.00 mcg,53.00 mcg,0.00 mcg,0.00 mcg,0,0.00 mcg,0.479 mg,0.0 mg,0.00 IU,6.90 mg,6.90 mg,0.0 mcg,23.00 mg,0.105 mg,2.41 mg,19.00 mg,0.205 mg,70.00 mg,170.00 mg,7.4 mcg,0.42 mg,11.69 g,0.492 g,0.875 g,1.330 g,0.176 g,2.429 g,0.473 g,0.299 g,0,0.559 g,0.914 g,0.727 g,0.146 g,0.611 g,0.643 g,0.626 g,0.453 g,0.161 g,0.400 g,0.593 g,5.31 g,2.6 g,0.00 g,0,0,0,0,0,0,29.52 g,4.622 g,7.095 g,15.441 g,0.00 mg,0.0 g,4.50 g,0.00 mg,0.00 mg,48.98 g
458,Harina de centeno oscuro,100 g,325,2.2g,0.3g,0,2.00 mg,30.4 mg,33.00 mcg,0.00 mcg,4.270 mg,1.456 mg,0.251 mg,0.316 mg,11.00 IU,1.00 mcg,0.00 mcg,7.00 mcg,0.00 mcg,210.00 mcg,0,0.00 mcg,0.443 mg,0.0 mg,0.00 IU,2.73 mg,2.73 mg,5.9 mcg,37.00 mg,0.560 mg,4.97 mg,160.00 mg,6.062 mg,499.00 mg,717.00 mg,18.0 mcg,5.04 mg,15.91 g,0.647 g,0.764 g,0.827 g,0,3.139 g,0.680 g,0.233 g,0,0.353 g,0.857 g,0.338 g,0.199 g,0.646 g,1.014 g,0.681 g,0.490 g,0.180 g,0.271 g,0.498 g,68.63 g,23.8 g,2.31 g,0.23 g,0.00 g,0.22 g,0.00 g,0.07 g,1.80 g,2.22 g,0.269 g,0.284 g,1.046 g,0.00 mg,0.0 g,2.50 g,0.00 mg,0.00 mg,10.75 g
462, pimentón,100 g,282,13g,2.1g,0,68.00 mg,51.5 mg,49.00 mcg,0.00 mcg,10.060 mg,2.510 mg,1.230 mg,0.330 mg,49254.00 IU,2463.00 mcg,595.00 mcg,26162.00 mcg,6186.00 mcg,18944.00 mcg,0,0.00 mcg,2.141 mg,0.9 mg,0.00 IU,29.10 mg,29.10 mg,80.3 mcg,229.00 mg,0.713 mg,21.14 mg,178.00 mg,1.590 mg,314.00 mg,2280.00 mg,6.3 mcg,4.33 mg,14.14 g,0.640 g,0.890 g,2.850 g,0.230 g,2.260 g,0.780 g,0.250 g,0.000 g,0.570 g,0.920 g,0.690 g,0.200 g,0.610 g,2.310 g,0.610 g,0.490 g,0.070 g,0.380 g,0.750 g,53.99 g,34.9 g,10.34 g,6.71 g,0.19 g,2.63 g,0.00 g,0.00 g,0.81 g,12.89 g,2.140 g,1.695 g,7.766 g,0.00 mg,0.0 g,7.74 g,0.00 mg,0.00 mg,11.24 g
463,mandarina,100 g,44,0.3g,,0,0.00 mg,6.2 mg,5.00 mcg,0.00 mcg,1.125 mg,0.185 mg,0.027 mg,0.034 mg,332.00 IU,17.00 mcg,0.00 mcg,150.00 mcg,98.00 mcg,130.00 mcg,0,0.00 mcg,0.025 mg,5.4 mg,0.00 IU,0.77 mg,0.77 mg,2.2 mcg,6.00 mg,0.086 mg,0.28 mg,9.00 mg,0.054 mg,26.00 mg,201.00 mg,0.0 mcg,0.17 mg,1.06 g,0.017 g,0.009 g,0.568 g,0.005 g,0.034 g,0.011 g,0.008 g,0,0.009 g,0.014 g,0.016 g,0.006 g,0.021 g,0.010 g,0.018 g,0.009 g,0.005 g,0.007 g,0.013 g,10.55 g,1.7 g,7.89 g,1.37 g,0.00 g,1.57 g,0.00 g,0.00 g,4.87 g,0.32 g,0.025 g,0.088 g,0.113 g,0.00 mg,0.0 g,0.48 g,0.00 mg,0.00 mg,87.59 g
471,Pimentos enlatados,100 g,23,0.3g,,0,14.00 mg,6.3 mg,6.00 mcg,0.00 mcg,0.615 mg,0.010 mg,0.060 mg,0.017 mg,2655.00 IU,133.00 mcg,238.00 mcg,1474.00 mcg,0.00 mcg,366.00 mcg,0,0.00 mcg,0.215 mg,84.9 mg,0.00 IU,0.69 mg,0.69 mg,8.3 mcg,6.00 mg,0.049 mg,1.68 mg,6.00 mg,0.092 mg,17.00 mg,158.00 mg,0.2 mcg,0.19 mg,1.10 g,0.045 g,0.053 g,0.157 g,0.021 g,0.145 g,0.041 g,0.022 g,0,0.036 g,0.058 g,0.049 g,0.013 g,0.034 g,0.048 g,0.044 g,0.040 g,0.014 g,0.023 g,0.046 g,5.10 g,1.9 g,2.71 g,0,0,0,0,0,0,0.30 g,0.045 g,0.020 g,0.161 g,0.00 mg,0.0 g,0.40 g,0.00 mg,0.00 mg,93.10 g
472,Tomatillos,100 g,32,1g,0.1g,0,1.00 mg,7.6 mg,7.00 mcg,0.00 mcg,1.850 mg,0.150 mg,0.035 mg,0.044 mg,114.00 IU,6.00 mcg,10.00 mcg,63.00 mcg,0.00 mcg,467.00 mcg,0,0.00 mcg,0.056 mg,11.7 mg,0.00 IU,0.38 mg,0.38 mg,10.1 mcg,7.00 mg,0.079 mg,0.62 mg,20.00 mg,0.153 mg,39.00 mg,268.00 mg,0.5 mcg,0.22 mg,0.96 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.84 g,1.9 g,3.93 g,0,0,0,0,0,0,1.02 g,0.139 g,0.155 g,0.417 g,0.00 mg,0.0 g,0.55 g,0.00 mg,0.00 mg,91.63 g
475,Extracto de vainilla,100 g,288,0.1g,,0,9.00 mg,0,0.00 mcg,0.00 mcg,0.425 mg,0.035 mg,0.095 mg,0.011 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,0.00 mcg,0.026 mg,0.0 mg,0.00 IU,0.00 mg,0.00 mg,0.0 mcg,11.00 mg,0.072 mg,0.12 mg,12.00 mg,0.230 mg,6.00 mg,148.00 mg,0.0 mcg,0.11 mg,0.06 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.65 g,0.0 g,12.65 g,0,0,0,0,0,0,0.06 g,0.010 g,0.010 g,0.004 g,0.00 mg,34.4 g,0.26 g,0.00 mg,0.00 mg,52.58 g
476,pescado carpa crudo,100 g,127,5.6g,1.1g,66mg,49.00 mg,65.0 mg,15.00 mcg,0.00 mcg,1.640 mg,0.750 mg,0.055 mg,0.115 mg,30.00 IU,9.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,1.53 mcg,0.190 mg,1.6 mg,988.00 IU,0.63 mg,0.63 mg,0.1 mcg,41.00 mg,0.057 mg,1.24 mg,29.00 mg,0.042 mg,415.00 mg,333.00 mg,12.6 mcg,1.48 mg,17.83 g,1.078 g,1.067 g,1.826 g,0.191 g,2.662 g,0.856 g,0.525 g,0,0.822 g,1.449 g,1.638 g,0.528 g,0.696 g,0.631 g,0.728 g,0.782 g,0.200 g,0.602 g,0.919 g,0.00 g,0.0 g,0.00 g,0,0,0,0,0,0,5.60 g,1.083 g,2.328 g,1.431 g,66.00 mg,0.0 g,1.46 g,0.00 mg,0.00 mg,76.31 g
482,azafrán,100 g,310,5.9g,1.6g,0,148.00 mg,0,93.00 mcg,0.00 mcg,1.460 mg,0,0.267 mg,0.115 mg,530.00 IU,27.00 mcg,0,0,0,0,0,0.00 mcg,1.010 mg,80.8 mg,0.00 IU,0,0,0,111.00 mg,0.328 mg,11.10 mg,264.00 mg,28.408 mg,252.00 mg,1724.00 mg,5.6 mcg,1.09 mg,11.43 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.37 g,3.9 g,0,0,0,0,0,0,0,5.85 g,1.586 g,0.429 g,2.067 g,0.00 mg,0.0 g,5.45 g,0.00 mg,0.00 mg,11.90 g
483,Jugo de lima natural,100 g,25,0.1g,,0,2.00 mg,5.1 mg,10.00 mcg,0.00 mcg,0.142 mg,0.123 mg,0.015 mg,0.025 mg,50.00 IU,2.00 mcg,0.00 mcg,30.00 mcg,0.00 mcg,0.00 mcg,0,0.00 mcg,0.038 mg,30.0 mg,0.00 IU,0.22 mg,0.22 mg,0.6 mcg,14.00 mg,0.027 mg,0.09 mg,8.00 mg,0.018 mg,14.00 mg,117.00 mg,0.1 mcg,0.08 mg,0.42 g,0.024 g,0.015 g,0.114 g,0.002 g,0.067 g,0.011 g,0.002 g,0,0.002 g,0.016 g,0.016 g,0.002 g,0.011 g,0.030 g,0.035 g,0.002 g,0.002 g,0.002 g,0.011 g,8.42 g,0.4 g,1.69 g,0.61 g,0.00 g,0.60 g,0.00 g,0.00 g,0.48 g,0.07 g,0.008 g,0.008 g,0.023 g,0.00 mg,0.0 g,0.31 g,0.00 mg,0.00 mg,90.79 g
486,Semillas de linaza,100 g,534,42g,3.7g,0,30.00 mg,78.7 mg,87.00 mcg,0.00 mcg,3.080 mg,0.985 mg,0.161 mg,1.644 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,651.00 mcg,0,0.00 mcg,0.473 mg,0.6 mg,0.00 IU,0.31 mg,0.31 mg,4.3 mcg,255.00 mg,1.220 mg,5.73 mg,392.00 mg,2.482 mg,642.00 mg,813.00 mg,25.4 mcg,4.34 mg,18.29 g,0.925 g,1.925 g,2.046 g,0.340 g,4.039 g,1.248 g,0.472 g,0.175 g,0.896 g,1.235 g,0.862 g,0.370 g,0.957 g,0.806 g,0.970 g,0.766 g,0.297 g,0.493 g,1.072 g,28.88 g,27.3 g,1.55 g,0.00 g,0.00 g,0.40 g,0.00 g,0.00 g,1.15 g,42.16 g,3.663 g,7.527 g,28.730 g,0.00 mg,0.0 g,3.72 g,0.00 mg,0.00 mg,6.96 g
487,Queso gruyere ,100 g,413,32g,19g,110mg,714.00 mg,15.4 mg,10.00 mcg,0.00 mcg,0.106 mg,0.562 mg,0.279 mg,0.060 mg,948.00 IU,271.00 mcg,0.00 mcg,33.00 mcg,0.00 mcg,0.00 mcg,0,1.60 mcg,0.081 mg,0.0 mg,24.00 IU,0.28 mg,0.28 mg,2.7 mcg,1011.00 mg,0.032 mg,0.17 mg,36.00 mg,0.017 mg,605.00 mg,81.00 mg,14.5 mcg,3.90 mg,29.81 g,0.958 g,0.972 g,1.645 g,0.304 g,5.981 g,0.533 g,1.117 g,0,1.612 g,3.102 g,2.710 g,0.822 g,1.743 g,3.869 g,1.719 g,1.089 g,0.421 g,1.776 g,2.243 g,0.36 g,0.0 g,0.36 g,0,0,0,0,0,0,32.34 g,18.913 g,10.043 g,1.733 g,110.00 mg,0.0 g,4.30 g,0.00 mg,0.00 mg,33.19 g
489,Queso fontina,100 g,389,31g,19g,116mg,800.00 mg,15.4 mg,6.00 mcg,0.00 mcg,0.150 mg,0.429 mg,0.204 mg,0.021 mg,913.00 IU,261.00 mcg,0.00 mcg,32.00 mcg,0.00 mcg,0.00 mcg,0,1.68 mcg,0.083 mg,0.0 mg,23.00 IU,0.27 mg,0.27 mg,2.6 mcg,550.00 mg,0.025 mg,0.23 mg,14.00 mg,0.014 mg,346.00 mg,64.00 mg,14.5 mcg,3.50 mg,25.60 g,0.823 g,0.835 g,1.413 g,0.261 g,5.136 g,0.457 g,0.959 g,0,1.384 g,2.664 g,2.328 g,0.706 g,1.497 g,3.323 g,1.477 g,0.935 g,0.361 g,1.524 g,1.926 g,1.55 g,0.0 g,1.55 g,0,0,0,0,0,0,31.14 g,19.196 g,8.687 g,1.654 g,116.00 mg,0.0 g,3.79 g,0.00 mg,0.00 mg,37.92 g
490,Mantequilla con sal,100 g,717,81g,51g,215mg,643.00 mg,18.8 mg,3.00 mcg,0.00 mcg,0.042 mg,0.110 mg,0.034 mg,0.005 mg,2499.00 IU,684.00 mcg,0.00 mcg,158.00 mcg,0.00 mcg,0.00 mcg,0,0.17 mcg,0.003 mg,0.0 mg,0.00 IU,2.32 mg,2.32 mg,7.0 mcg,24.00 mg,0.000 mg,0.02 mg,2.00 mg,0.000 mg,24.00 mg,24.00 mg,1.0 mcg,0.09 mg,0.85 g,0.029 g,0.031 g,0.064 g,0.008 g,0.178 g,0.018 g,0.023 g,0,0.051 g,0.083 g,0.067 g,0.021 g,0.041 g,0.082 g,0.046 g,0.038 g,0.012 g,0.041 g,0.057 g,0.06 g,0.0 g,0.06 g,0,0,0,0,0,0,81.11 g,51.368 g,21.021 g,3.043 g,215.00 mg,0.0 g,2.11 g,0.00 mg,0.00 mg,15.87 g
491,Aceite de salvado de arroz,100 g,884,100g,20g,0,0.00 mg,0,0.00 mcg,0.00 mcg,0.000 mg,0.000 mg,0.000 mg,0.000 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,0.00 mcg,0.000 mg,0.0 mg,0,32.30 mg,32.30 mg,24.7 mcg,0.00 mg,0,0.07 mg,0.00 mg,0,0.00 mg,0.00 mg,0.0 mcg,0.00 mg,0.00 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.00 g,0.0 g,0.00 g,0,0,0,0,0,0,100.00 g,19.700 g,39.300 g,35.000 g,0.00 mg,0.0 g,0.00 g,0.00 mg,0.00 mg,0.00 g
492,Galletas saladas,100 g,446,14g,2.9g,11mg,687.00 mg,10.8 mg,90.00 mcg,70.00 mcg,4.430 mg,0.407 mg,0.418 mg,0.538 mg,58.00 IU,16.00 mcg,0.00 mcg,3.00 mcg,0.00 mcg,16.00 mcg,0,0.08 mcg,0.037 mg,0.2 mg,0.00 IU,1.22 mg,1.22 mg,3.8 mcg,172.00 mg,0.227 mg,3.58 mg,22.00 mg,0.552 mg,303.00 mg,114.00 mg,15.9 mcg,0.67 mg,7.60 g,0.246 g,0.307 g,0.345 g,0.159 g,2.482 g,0.264 g,0.167 g,0,0.289 g,0.541 g,0.241 g,0.138 g,0.376 g,0.858 g,0.399 g,0.221 g,0.100 g,0.237 g,0.333 g,71.73 g,3.4 g,10.32 g,0,0,0,0,0,0,13.77 g,2.912 g,5.485 g,4.867 g,11.00 mg,0.0 g,2.20 g,0.00 mg,0.00 mg,4.70 g
495,Pan de avena,100 g,269,4.4g,0.7g,0,447.00 mg,18.7 mg,62.00 mcg,35.00 mcg,3.136 mg,0.341 mg,0.240 mg,0.399 mg,16.00 IU,5.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,72.00 mcg,0,0.03 mcg,0.068 mg,0.0 mg,0.00 IU,0.48 mg,0.48 mg,1.5 mcg,66.00 mg,0.209 mg,2.70 mg,37.00 mg,0.940 mg,126.00 mg,142.00 mg,24.6 mcg,1.02 mg,8.40 g,0.328 g,0.395 g,0.505 g,0.208 g,2.413 g,0.343 g,0.186 g,0,0.325 g,0.608 g,0.270 g,0.152 g,0.414 g,0.765 g,0.408 g,0.247 g,0.116 g,0.263 g,0.393 g,48.50 g,4.0 g,8.14 g,0,0,0,0,0,0,4.40 g,0.703 g,1.578 g,1.702 g,0.00 mg,0.0 g,2.00 g,0.00 mg,0.00 mg,36.70 g
496,Pan italiano,100 g,271,3.5g,,0,550.00 mg,14.6 mg,191.00 mcg,161.00 mcg,4.381 mg,0.378 mg,0.292 mg,0.473 mg,1.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,48.00 mcg,0,0.00 mcg,0.048 mg,0.0 mg,0.00 IU,0.29 mg,0.29 mg,1.2 mcg,78.00 mg,0.191 mg,2.94 mg,27.00 mg,0.464 mg,103.00 mg,110.00 mg,27.2 mcg,0.86 mg,8.80 g,0.284 g,0.316 g,0.379 g,0.193 g,2.990 g,0.307 g,0.188 g,0,0.333 g,0.614 g,0.197 g,0.156 g,0.433 g,1.004 g,0.426 g,0.245 g,0.103 g,0.248 g,0.376 g,50.10 g,3.2 g,3.17 g,0,0,0,0,0,0,3.50 g,0.000 g,0.812 g,1.390 g,0.00 mg,0.0 g,1.90 g,0.00 mg,0.00 mg,35.70 g
497,Tamarindos,100 g,239,0.6g,0.3g,0,28.00 mg,8.6 mg,14.00 mcg,0.00 mcg,1.938 mg,0.143 mg,0.152 mg,0.428 mg,30.00 IU,2.00 mcg,0.00 mcg,18.00 mcg,0.00 mcg,0.00 mcg,0,0.00 mcg,0.066 mg,3.5 mg,0.00 IU,0.10 mg,0.10 mg,2.8 mcg,74.00 mg,0.086 mg,2.80 mg,92.00 mg,0,113.00 mg,628.00 mg,1.3 mcg,0.10 mg,2.80 g,0,0,0,0,0,0,0,0,0,0,0.139 g,0.014 g,0,0,0,0,0.018 g,0,0,62.50 g,5.1 g,38.80 g,0,0,0,0,0,0,0.60 g,0.272 g,0.181 g,0.059 g,0.00 mg,0.0 g,2.70 g,0.00 mg,0.00 mg,31.40 g
507,Plátanos,100 g,122,0.4g,0.1g,0,4.00 mg,13.5 mg,22.00 mcg,0.00 mcg,0.686 mg,0.260 mg,0.054 mg,0.052 mg,1127.00 IU,56.00 mcg,438.00 mcg,457.00 mcg,0.00 mcg,30.00 mcg,0,0.00 mcg,0.299 mg,18.4 mg,0.00 IU,0.14 mg,0.14 mg,0.7 mcg,3.00 mg,0.081 mg,0.60 mg,37.00 mg,0,34.00 mg,499.00 mg,1.5 mcg,0.14 mg,1.30 g,0.051 g,0.108 g,0.108 g,0.020 g,0.116 g,0.045 g,0.064 g,0,0.036 g,0.059 g,0.060 g,0.017 g,0.044 g,0.050 g,0.041 g,0.034 g,0.015 g,0.032 g,0.046 g,31.89 g,2.3 g,15.00 g,0,0,0,0,0,0,0.37 g,0.143 g,0.032 g,0.069 g,0.00 mg,0.0 g,1.17 g,0.00 mg,0.00 mg,65.28 g
508,Perejil fresco,100 g,36,0.8g,0.1g,0,56.00 mg,12.8 mg,152.00 mcg,0.00 mcg,1.313 mg,0.400 mg,0.098 mg,0.086 mg,8424.00 IU,421.00 mcg,0.00 mcg,5054.00 mcg,0.00 mcg,5561.00 mcg,0,0.00 mcg,0.090 mg,133.0 mg,0.00 IU,0.75 mg,0.75 mg,1640.0 mcg,138.00 mg,0.149 mg,6.20 mg,50.00 mg,0.160 mg,58.00 mg,554.00 mg,0.1 mcg,1.07 mg,2.97 g,0.195 g,0.122 g,0.294 g,0.014 g,0.249 g,0.145 g,0.061 g,0,0.118 g,0.204 g,0.181 g,0.042 g,0.145 g,0.213 g,0.136 g,0.122 g,0.045 g,0.082 g,0.172 g,6.33 g,3.3 g,0.85 g,0,0,0,0,0,0,0.79 g,0.132 g,0.295 g,0.124 g,0.00 mg,0.0 g,2.20 g,0.00 mg,0.00 mg,87.71 g
509,cebada,100 g,354,2.3g,0.5g,0,12.00 mg,0,19.00 mcg,0.00 mcg,4.604 mg,0.282 mg,0.285 mg,0.646 mg,22.00 IU,1.00 mcg,0.00 mcg,13.00 mcg,0.00 mcg,160.00 mcg,0,0.00 mcg,0.318 mg,0.0 mg,0.00 IU,0.57 mg,0.57 mg,2.2 mcg,33.00 mg,0.498 mg,3.60 mg,133.00 mg,1.943 mg,264.00 mg,452.00 mg,37.7 mcg,2.77 mg,12.48 g,0.486 g,0.625 g,0.779 g,0.276 g,3.261 g,0.452 g,0.281 g,0,0.456 g,0.848 g,0.465 g,0.240 g,0.700 g,1.484 g,0.527 g,0.424 g,0.208 g,0.358 g,0.612 g,73.48 g,17.3 g,0.80 g,0,0,0,0,0,0,2.30 g,0.482 g,0.295 g,1.108 g,0.00 mg,0.0 g,2.29 g,0.00 mg,0.00 mg,9.44 g
510,Queso romano,100 g,387,27g,17g,104mg,1433.00 mg,15.4 mg,7.00 mcg,0.00 mcg,0.077 mg,0.424 mg,0.370 mg,0.037 mg,415.00 IU,96.00 mcg,0.00 mcg,69.00 mcg,0.00 mcg,0.00 mcg,0,1.12 mcg,0.085 mg,0.0 mg,20.00 IU,0.23 mg,0.23 mg,2.2 mcg,1064.00 mg,0.030 mg,0.77 mg,41.00 mg,0.020 mg,760.00 mg,86.00 mg,14.5 mcg,2.58 mg,31.80 g,0.932 g,1.171 g,1.989 g,0.209 g,7.302 g,0.553 g,1.231 g,0,1.685 g,3.071 g,2.941 g,0.852 g,1.710 g,3.718 g,1.840 g,1.171 g,0.429 g,1.775 g,2.183 g,3.63 g,0.0 g,0.73 g,0,0,0,0,0,0,26.94 g,17.115 g,7.838 g,0.593 g,104.00 mg,0.0 g,6.72 g,0.00 mg,0.00 mg,30.91 g
511,Dulce de leche,100 g,315,7.4g,4.5g,29mg,129.00 mg,89.1 mg,11.00 mcg,0.00 mcg,0.210 mg,0.835 mg,0.405 mg,0.016 mg,267.00 IU,74.00 mcg,0.00 mcg,14.00 mcg,0.00 mcg,0.00 mcg,0,0.31 mcg,0.016 mg,2.6 mg,6.00 IU,0.20 mg,0.20 mg,1.3 mcg,251.00 mg,0.004 mg,0.17 mg,22.00 mg,0.002 mg,193.00 mg,350.00 mg,2.7 mcg,0.79 mg,6.84 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.35 g,0.0 g,49.74 g,0.32 g,1.03 g,1.70 g,4.92 g,0.00 g,41.77 g,7.35 g,4.534 g,2.143 g,0.375 g,29.00 mg,0.0 g,1.74 g,0.00 mg,0.00 mg,28.71 g
515,piernas o muslos de pollo,100 g,158,18g,3.2g,56mg,722.00 mg,0,3.00 mcg,0.00 mcg,2.748 mg,0.430 mg,0.114 mg,0.009 mg,99.00 IU,30.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,0.13 mcg,0.150 mg,0.0 mg,0,0,0,0,16.00 mg,0.040 mg,0.87 mg,12.00 mg,0.012 mg,89.00 mg,106.00 mg,10.8 mcg,1.15 mg,18.01 g,1.037 g,1.117 g,1.580 g,0.237 g,2.586 g,1.166 g,0.517 g,0,0.879 g,1.286 g,1.438 g,0.469 g,0.687 g,0.868 g,0.626 g,0.730 g,0.197 g,0.568 g,0.859 g,4.05 g,0.3 g,0.47 g,0,0,0,0,0,0,17.56 g,3.230 g,4.800 g,2.350 g,56.00 mg,0.0 g,2.97 g,0.00 mg,0.00 mg,57.41 g
