,nombre_del_platillo,ingredientes,kcal,carbohydrate,protein,total_fat,sugars,fiber
230,Preservaciones de la higos de la misión negra,"2 tazas Figos de misión negra fresca, vallas y a la mitad, 1 taza de azúcar blanca, 1 taza de agua, 1 cucharada de jugo de lima, ½ cucharadita de canela molida, ¼ cucharadita de jengibre molido, ? cucharadita de pimienta blanca molida, 1 frasco de 13 onzas",60,15,0,0,14,1
231,Summer dulces batidos,"2 tazas de jugo de arándano, 2 tazas de fresas, 1 taza de arándanos, 1 taza de sandía, 1 plátano, 2 higos frescos",185,42,2,1,32,4
232,Compota de higuera fresca de Zurie sobre queso crema,"? Copa de azúcar morena, ¼ de taza de agua, 1 pizca de sal, 2 tazas de higos frescos, tallo y descuidado, 1 cucharadita de extracto de vainilla, 1 (8 onzas) Paquete de queso crema",182,21,2,10,19,1
233,Fig y ricotta Crostini,"1 baguette francesa, cortado en rodajas de 1/2 pulgadas, 1 (15 onzas) recipiente de queso ricotta, 12 hojas de albahaca fresca, cortadas en tiras finas, 8 higos de misión negra, cortado en cuartos, ¼ taza de vinagre balsámico envejecido",192,30,9,4,7,2
234,Risotto con higos frescos y prosciutto,"4 tazas de caldo de vegetales, 6 cucharadas de mantequilla, dividido, 1 cucharada de aceite de oliva virgen extra, 1 cebolla verde, finamente picada, 1 (12 onzas) paquete de arroz arborio, ½ taza de vino blanco seco, 14 pequeños higos, divididos, 4 delgados Prescio de rodajas, queso Pecorino-Romano rallado, 1 taza, o para saborear",738,100,17,30,26,6
235,Salsa de arándano de higos y romero,"1 taza de agua, 1 taza de azúcar morena oscura, 2 cucharaditas de extracto de arce, 1 (12 onzas) paquete de arándanos frescos, 10 higos de misión secas, picado, 1 (5 pulgadas) Sprig de romero fresco",196,48,1,0,41,5
236,Las higueras de Mamma K conservan con un toque,"3 tazas de higos frescos, tallo y descuidado, 3 tazas de azúcar blanca, 1 limón, en rodajas finas y semillas retiradas, 2 (3 onzas) empaquetan la mezcla Jell-O® con sabor a fresa, 3 frascos de enlatado de 1 pinta con tapas y anillos, o anillos, o anillos, o anillos. según sea necesario",100,24,1,0,23,1
237,Pollo envuelto en prosciutto con higos y queso de cabra,"2 cucharadas de aceite de oliva, dividido, 2 chalotes, picado, 1 ajo de clavo, picado, 1 cucharadita de tomillo fresco picado, ¼ cucharadita de sal, ¼ cucharadita de pimienta negra molida, ¾ taza de queso de cabra suave, ½ taza de queso mozzarella rallada, ½ (8 our ) Paquete de queso crema, 6 higos, picado, 1 cucharada de albahaca fresca picada, 6 mitades de pechuga de pollo sin piel, 12 rodajas grandes y delgadas",408,14,34,24,9,2
238,Salsa de pasta de higos y prosciutto,"2 cucharadas de mantequilla, 2 cucharadas de harina para todo uso, ½ cucharadita de sal, 1 taza de leche, 6 rodajas finas prosciutto, cortadas en tiras finas, 6 higos frescos, tallo y acuartelado, 1 cucharada de limón, ¼ de condimento de pimienta de limón, o para gusto",203,21,5,11,15,2
239,Las frescas higueras de mamá se conservan,"6 tazas de higos frescos, 3 tazas de azúcar blanco, 1 cucharada de jugo de limón, ½ cucharadita de jengibre fresco rallado, ½ cucharadita de canela molida, ½ cucharadita de extracto de vainilla, ¼ cucharadita de sal",80,20,0,0,19,1
240,Cupcakes de higuera y whisky,"½ cup fresh figs, finely chopped, ½ cup whiskey, 1 ? cups all-purpose flour, 1 teaspoon baking powder, ½ teaspoon baking soda, ½ teaspoon salt, ½ teaspoon ground cinnamon, ¼ teaspoon cream of tartar, ? teaspoon ground cloves, ½ taza de azúcar blanca, ? taza de aceite vegetal, ¼ de taza de azúcar morena, 1 huevo, ½ taza de suero de leche, 1 cucharadita de extracto de vainilla",574,81,4,26,66,1
241,Higos con cebollas caramelizadas y queso de cabra,"¼ de taza de aceite de canola, 1 cebolla amarilla grande, cortado en rodajas finas, ¼ taza de misiones pequeñas y secas, 6 onzas de queso de cabra, suavizado, 40 galletas",52,3,1,4,1,0
242,Ensalada de rúcula con gorgonzola cremosa,"¼ taza de aceite de oliva extra virgen, 2 cucharadas de jugo de limón, 1 cucharada de agua de flor de naranja, o más al gusto, 1 cucharada de jugo de naranja, 1 cucharadita de naranja rallada rallado",200,9,5,16,6,2
243,Compota de higos dulce y picante,"1 taza de higos secos en rodajas, 1 taza de vino tinto, ¼ de taza de azúcar blanca, 1 cucharada de miel, 1 cucharadita",149,34,1,1,29,4
244,Carne de cerdo de arándano de olla de cocción lenta,"4 (4 onzas) chuletas de cerdo, 1 taza de arándanos congelados, 3 higos enlatados, 1/4 taza de jugo reservado, ½ taza de jugo de manzana, 2 cucharadas de azúcar morena, ¼ cucharadita de sal, ¼ cucharadita de pimiento negro molido, ¼ de color rondea seca",164,17,15,4,14,2
245,Dolce Pesca (duraznos dulces),"4 higos frescos, ½ taza de piñones, 4 duraznos, a la mitad y picada, ¼ de taza de azúcar blanco, 1 taza de vino blanco, ½ taza de brandy",108,16,2,4,14,1
246,Smoothie de cantalupo simple,"1 taza de yogurt de vainilla (como Dannon® Light and Fit®), ½ taza de jugo de naranja, ½ taza de cantalupo en rodajas, 4 cubitos de hielo, aplastados o según sea necesario",304,53,14,4,50,1
247,Limonada de sandía,"½ taza de azúcar blanca, ½ taza de agua, 4 tazas de sandía en cubos, 3 tazas de agua fría, ½ taza de jugo de limón fresco, 6 tazas de hielo",52,13,0,0,12,0
248,Pops de hielo de sandía,"1 ½ tazas de sandía, sembrada y cortada en picada, ½ taza de agua, 1 cucharada de miel, 1 cucharada de jugo de limón fresco, 1 cucharada de azúcar blanca",32,8,0,0,7,0
249,Ensalada de sandía de tomate,"1 sandía grande sin semillas, cortado en cubos de 1 pulgada, 4 tomates, cortados en dados de 1 pulgada, 1 taza de queso feta desmenuzado, 1 cebolla dulce grande, en rodajas finas, 12 menta, en rodajas finas, ¼ de taza de aceite de oliva, 2 cucharadas Vinagre balsámico blanco, 1 sal de sal gruesa o al gusto, 1 pimienta negra con molido o al gusto",353,61,7,9,49,4
250,Batido de melón,"¼ Cantaloupe: pelado, sembrado y en cubos, ¼ de melón de miel - pelado, sembrado y en cubos, 1 lima, jugo, 2 cucharadas de azúcar",76,18,1,0,16,1
251,Batido de sandía,"1 ½ tazas de sandía en cubitos, 2 ¼ tazas de leche, 2 cucharaditas de azúcar blanca",99,13,5,3,12,0
252,Sorbete de sandía simple,"1 taza de azúcar blanca, ½ taza de agua, ¼ de taza de jugo de limón, 3 tazas de sandía sembrada en cubos",120,30,0,0,29,0
253,Ensalada de sandía de pepino refrescante,"1 cebolla roja pequeña, a la mitad y cortada en medias delgadas, 2 cucharadas de jugo de lima, o más al gusto, 2 cucharadas de aceite de oliva extra-virgen, 1 sandía sin semillas, cortado en cubos, 3 pepinos de bebé, sembradas y cortadas en cubos, 1 taza de queso feta desmenuzado, ½ taza de hojas de menta, en rodajas finas",227,36,5,7,29,2
254,Ensalada de sandía refrescante,"3 cucharadas de jugo de lima, 1 taza de ceboll",104,14,3,4,11,1
255,Ensalada de albahaca de sandía,"¼ de taza de hojas de albahaca, 4 tazas de 1/2 pulgada de sandía, 2 cucharaditas de jugo de limón, ¼ cucharadita de sal kosher, ¼ cucharadita de chile en polvo",0,0,0,0,0,0
256,Sandía picante,"¼ cucharadita de comino molido, ¼ cucharadita de cilantro molido, ¼ cucharadita de chile en polvo, ¼ cucharadita de sal, ? pimienta de cayena de cucharadita, 2 tazas de sandía sembrada en cubos, ½ lima, jugo",56,13,1,0,10,1
257,Sterbet de sandía,"4 tazas de sandía sin semillas en cubitos, 1 taza de azúcar blanca, 3 cucharadas de jugo de limón, 1 sal de sal, ¼ de taza de agua fría, 1 (.25 onza) Gelatina sin sabor, 1 taza de crema espesa fría",235,32,2,11,30,0
258,Sandía caprese aperitiva,"3 ramitas de albahaca fresca, tallos retirados, 1 sandía pequeña, fruta retirada con una jugadora de melón, 1 (8 onzas) paquete de queso mozzarella, cortado en trozos pequeños, 2 cucharadas de aceite de oliva, 2 cucharadas de vinagre balsámico, sal y pimienta negra molida gusto",340,28,12,20,24,1
259,Sopa de sandía,"4 tazas de sandía sembrada en cubos, 2 cucharadas de jugo de limón, 1 cucharada de menta fresca picada, 1 cucharada de miel",92,22,1,0,19,1
260,Ensalada de sandía y queso feta con rúcula y espinacas,"3 cucharadas de aceite de oliva extra-virgin, 2 cucharaditas de vinagre balsámico blanco, ½ cucharadita de sal kosher, 2 tazas de rúcula, 2 tazas de espinacas baby hojas, 1 taza de cebolla roja en rodajas finas, 1 taza de tomates de uva, con la mitad, ½ taza de queso feta crujido, 2 tazas de sandía del tamaño del bocado",203,12,5,15,7,2
261,Ensalada de feta de sandía,"3 cucharadas de aceite de oliva, 2 cucharaditas de vinagre balsámico blanco, ½ cucharadita de sal kosher, 8 onzas de tomates de uva, a la mitad, 3 tazas de rúcula, 1 taza de cebolla roja en rodajas, 2 libras de sandía, en cubos, 4 onzas queso feta, cortado en 1/4- cubos de pulgada",132,12,3,8,9,1
262,Margaritas de sandía de Jewel,"½ taza de azúcar blanca, ½ taza de agua, 3 tiras rallado de naranja, 2 tazas de sandía sembrada en cubos, ¾ taza de tequila blanco, ¼ de taza de jugo de lima, 1 sal de sal o azúcar para copas de estiramiento, 1 lima, cortadas en cuñas, 2 tazas de hielo triturado , o según sea necesario",156,38,1,0,30,2
263,Conservas de sandía,"2 libras de sandía, 3 tazas de azúcar blanca, 3 limones - enjuagados, cortados y sembrados",72,18,0,0,16,1
264,Ensalada de queso feta de sandía de hierba,"½ sandía grande sin semillas refrigerada, cortado en cubos de 1 pulgada, 1 cebolla roja pequeña, en rodajas, 1 taza de hojas de albahaca fresca en rodajas finas, 1 taza de cilantro fresco picado, ½ taza de hojas de menta frescas frescas, 2 limas, jugadas, 1 (4 onzas ) Paquete de queso feta desmenuzado, 3 cucharadas de aceite de oliva, 2 cucharadas de vinagre balsámico, o más al gusto, sal y pimienta negra molida al gusto",194,31,4,6,25,2
265,Bebida de sandía polinesia ('otai),"1 sandía sin semillas, a la mitad y en rodajas, 3 tazas de agua, 1 (15.25 onzas) puede colocar piña, 1 (12 onzas fluidas) puede evaporar leche, ½ taza de coco triturada, 2 cucharadas de azúcar blanca o sabor, ½ lima, juzgado",220,41,5,4,35,2
266,"Ensalada de frutas de verano con limón, miel y aderezo de menta","4 tazas de sandía sembrada en cubos, 2 tazas de fresas frescas en rodajas, 2 duraznos frescos grandes, cortados en cubos, 2 nectarinas grandes, cortadas en cubos, 1 pera roja de anjou, cortado en cubos, 1 taza de uvas sin semillas, a la mitad, 2 limones, juedogadas, jues ¼ de taza de menta fresca picada (menta de chocolate preferida), ½ limón, zestado, 1 cucharada de miel (miel de fireweed preferida)",117,25,2,1,20,3
267,"100% ""pastel"" de fruta","1 sandía sin semillas, 2 tazas de fresas, cascos y en rodajas, 1 cantalupo - sembrada, pelada y rodajas (opcionales), 1 piña fresca - pelada, con núcleo y rodajas (opcionales)",265,59,5,1,48,4
268,Sandía lima agua fresca,"8 tazas de agua, dividida, 5 tazas peladas, sandía en cubos y sembradas, ½ taza de azúcar blanca o más al gusto, ? taza de jugo de lima o más al gusto",68,16,1,0,15,0
269,Ensalada de queso de cabra de sandía,"¼ taza de aceite de oliva extra-virgin, 2 cucharadas de jugo de limón, 2 cucharadas de vinagre de vino tinto, ¼ cucharadita de sal, pimienta molida, sabor, 4 tazas mezclas de primavera, 4 tazas sin semillas, cortada cortada, ½ (4 onzas) log la miel de montchevre® queso de cabra, ½ taza de avellanas, picadas",174,9,3,14,5,2
270,Tazón de sandía,"1 sandía grande, 1 cantalupo, a la mitad y sembrada, 1 melón de miel, a la mitad y sembrada, 2 (15 onzas) latas de mandarina, drenado, 2 (20 onzas) botes de piña, drenados, 2 tazas de fresas frescas, 2 tazas sin semillas uvas, ½ taza de agua, ¼ de taza de azúcar blanco, 2 cucharadas de ralladura de limón rallado",201,45,3,1,40,3
271,Sandía y jugo de pepino con una ramita de lima,"½ (4 libras) sandía, sembrada y en cubos, 4 pepinos, recortados y cortados en trozos, 2 limas, jugo",145,31,3,1,19,3
272,Jugo de miel celestial,"1 (5 libras) Melón de miel, descuidado y sembrado, 2 tazas de hielo, 1 taza de agua, 3 cucharadas de azúcar blanca",177,40,2,1,37,3
273,Ensalada de verano de sandía,"¾ taza a la mitad, cebolla roja en rodajas finas, 1 cucharada de jugo de lima fresca, 1 ½ cuartos sembrados, sandía en cubos, ¾ taza de queso feta desmenuzado, ½ taza de mitades de oliva negra, 1 taza de menta fresca picada, 2 cucharadas de oliva oliva",166,15,4,10,11,1
274,Crujiente de cantalupo,"3 tazas de cantalupo en cubos, ½ taza de azúcar blanca, ? taza de jugo de limón, 2 cucharadas de mantequilla sin sal, derretida, 1 cucharada de harina de uso múltiple, ½ cucharadita de extracto de vainilla, ½ cucharadita de canela molida, ¼ cucharadita mezcla de pastel blanco, ½ taza de mantequilla sin sal, derretida",427,61,3,19,46,1
275,Caramelo de cáscara de sandía masticable,"1 cáscara de sandía, pelada, 4 tazas de agua, 4 tazas de azúcar blanca, ½ taza de hojas de lunes, con albahaca dulce seca y 1 cucharada",406,94,3,2,67,2
276,Margaritas de sandía,"2 tazas de sandía sembrada en cubos, 2 tazas de hielo triturado, ? taza de tequila, ¼ de taza de azúcar blanco, ¼ de taza de jugo de lima, 1 cucharada de vodka, 1 cucharada de licor de naranja",88,21,1,0,19,0
277,Sandía refrigeradora oleada,"4 tazas de sandía sin semillas en cubos, 10 cubitos de hielo, ? taza de jugo de lima fresca, ¼ taza de azúcar blanca, ? cucharadita de sal",88,21,1,0,18,1
278,Jugo rápido de cantalupo,"½ Cantaloupo: pelado, sembrado y en cubos, ¾ taza de leche, 1 cucharada de azúcar blanca",122,22,4,2,21,1
279,Dulces de la corteza de sandía,"2 ½ galones de agua, 1 cucharada de sal, 2 galones de cáscara de sandía, solo parte blanca, cortado en cubos de 1 pulgada, vinagre de sidra de 1 cuarto, 26 tazas de azúcar blanca, dividida, 28 dientes enteros, 14 (3 pulgadas) Cinnamon Stick",224,56,0,0,52,1
280,Agua Fresca,"1 ½ tazas de agua, 3 rodajas de melón, pelado y sembrado, 6 cucharadas de azúcar blanco, 1 taza de hielo cubitos",188,46,1,0,45,1
281,Sandía-cupero agua fresca,"4 cups cubed seeded watermelon, 2 ½ cups water, divided, 1 cup peeled, chopped cucumber, ¼ cup freshly squeezed lime juice, 1 tablespoon white sugar, 1 teaspoon chili-lime seasoning (such as Tajin®), 1 wedge fresh lime, hielo según sea necesario, 4 rodajas de sandía, 4 rodajas lima",181,40,3,1,31,2
282,Sandía y limonada de fresa,"8 tazas de sandía sembrada en cubos, 1 taza de fresas frescas, a la mitad, ½ taza de jugo de limón fresco, 1 taza de azúcar blanca, 2 tazas de agua",160,39,1,0,36,1
283,Pan de cantalupo con esmalte praline,"2 tazas de azúcar blanca, 2 tazas de melón: pelado, sembrado y purado, 1 taza de aceite vegetal, 3 huevos grandes, 1 cucharada de extracto de vainilla, 3 tazas de harina para todo uso, 2 cucharaditas de canela molida ¾ cucharadita de polvo de hornear, ½ cucharadita de jengibre molido",366,48,3,18,33,1
284,Pastel de sandía,"1 (3 onzas) JELL-O® con sabor a sandía, ¼ de taza de agua, 1 (12 onzas) recipiente batido congelado, descongelado, 2 tazas de sandía, 1 (9 pulgadas) Graham galleta preparada",338,41,3,18,33,1
285,Pastel de cantalupo i,"1 cantalupo, ½ taza de azúcar blanca, 8 cucharadas de harina para todo uso, ¼ cucharadita de sal, 3 yemas de huevo, 2 cucharadas de agua, 1 cucharadas de mantequilla, ¼ cucharadita de extracto con sabor a mantequilla, 3 blancos de huevo, ¼ de cubierta de cubierta de tártaro, 6 cucharadas blancas blancas azúcar, 1 (9 pulgadas) corteza de pastel, horneada",265,42,4,9,28,1
286,Ensalada de sandía de aguacate,"4 tazas de sandía en cubos, 4 tazas de espinacas bebidas frescas, rasgadas, 2 aguacates grandes: pelados, picados y cortados en cubitos, ¼ de taza de aceite de nuez, ¼ de taza de aceite de aceituna, 1 lima, juzgado, ½ cucharadita de pimentón dulce",372,18,3,32,7,8
287,Sopa de melón frío,"1 cantalupo: pelado, sembrado y en cubos, 2 tazas de jugo de naranja, 1 cucharada de jugo de lima fresco, ¼ cucharadita de canela molida",68,16,1,0,14,1
288,Ensalada de sandía y queso azul,"½ taza de aceite de oliva ligero, ¼ taza de vinagre balsámico blanco, sal y pimienta negra molida al gusto, 5 libras de sandía, cortado en cubos de tamaño bocado, 1 cebolla dulce pequeña (como Vidalia®), en rodajas finas, 2 cucharadas picadas de menta fresca , o más al gusto, 6 onzas de queso azul desmenuzado",197,16,4,13,13,1
289,Fuego de sandía y salsa de hielo,"3 tazas de sandía picada, ½ taza de pimiento verde picado, 2 cucharadas de jugo de lima, 2 cucharadas de cilantro fresco picado, 1 cucharada de cebolla verde picada, 1 cucharada de jalapeño picado, ½ cucharadita de ajo de ajo",4,1,0,0,1,0
290,Sandía del chef John Agua Fresca,"½ sandía sin semillas, 2 tazas de agua fría, ½ taza de azúcar blanca, o al gusto, ½ taza de agua",197,45,2,1,40,2
291,Gazpacho verde,"2 tazas de melón de miel en cubitos, 1 pepino inglés (sin semillas), pelado y cortado en cubitos, 1 cebolla pequeña, cortada en cubitos, 1 aguacate - pelado, picada y picada, 1 pimienta de jalapeño, sembrada y picada, 1 ajo de clavo, picado, ¼ taza Vinagre balsámico blanco, 1 cucharada de jugo de lima, sal y pimienta negra recién molida al gusto",299,36,5,15,22,10
292,Ensalada de frutas de mojito,"1 taza de sandía sembrada en cubos, 1 taza de uvas sin semillas, 1 taza de cantalupo en cubos, 1 taza de fresas con cáscara y descuidado, 1 taza de kiwi pelado y descuidado, 1 taza de arándanos frescos, 3 sortillos, menta fresca, 2 tejidos de azúcar blanca, 3 cucharadas de jugo de lima fresca",97,21,1,1,16,3
293,Jugo de sandía,"2 tazas de sandía sin semillas en cubitos, 2 tazas de agua, 1 cucharada de azúcar blanca o más al gusto",40,9,1,0,8,0
294,Ginebra de sandía y tónico,"¼ lima, jugo, ¼ de taza de sandía picada sin semillas, ½ taza de hielo, o según sea necesario, 2 cucharadas de ginebra, o para saborear, 2 tazas de agua tónica",180,45,0,0,44,0
295,Martini de sandía fácil,"1 sandía de rodajas, cáscara retirada, ½ taza de cubitos de hielo, o según sea necesario, 1 (1.5 onza fluida) Jigger vodka",8,0,2,0,18,1
296,Disparos de caída de limón,"¾ Vodka de onza fluida (como Absolut®), ¾ jugo de limón de onza fluida, 2 ½ cucharaditas de azúcar blanca, dividida o más al gusto, 1 limón, cortado en cuñas",100,24,1,0,11,5
297,Ensalada de fruta de verano perfecta,"? Copa de jugo de naranja fresca, ? Copa de jugo de limón fresco, ? Copa de azúcar morena empaquetada, ½ cucharadita de ralladura de naranja rallada, ½ cucharadita de ralladura de limón rallado, 1 cucharadita de extracto de vainilla",173,39,2,1,29,5
298,Cuajada de limón perfecta,"¾ taza de jugo de limón fresco, ¾ taza de azúcar blanca, ½ taza de mantequilla sin sal, en cubos, 3 huevos grandes, 1 cucharada de ralladura de limón rallado",145,14,2,9,13,0
299,Cóctel de Tom Collins,"2 ½ tazas de hielo, dividido, 2 onzas fluidas ginebra, ¾ onza fluido jugo de limón, ½ onza fluido jarabe simple, 2 onzas fluidas club soda, 1 cuña de limón",52,13,0,0,1,1
300,Gallinas de juego de Cornualles con ajo y romero,"4 gallinas de juego de Cornualles, 3 cucharadas de aceite de oliva, dividido, sal y pimienta al gusto, 1 limón, acuartelado, 8 ramitas de romero fresco, dividido, 24 dientes de ajo, ? taza de vino blanco, ? taza de caldo de pollo bajo en sodio",798,10,59,58,0,2
301,Vieiras fáciles de ajo-limón,"¾ taza de mantequilla, 3 cucharadas de ajo picado, 2 libras vieiras de mar grandes, 2 cucharadas de jugo de limón fresco, 1 cucharadita de sal, ? cucharadita de pimienta",408,9,39,24,0,0
302,Papas tostadas de limón de estilo griego,"3 libras de papas, peladas y cortadas en cuñas gruesas, ? taza de aceite de oliva, 2 limones, jugo, 2 cucharaditas de sal, 1 cucharadita de orégano, ½ cucharadita de pimienta negra molida, 3 tazas de pollo caldo",288,40,5,12,2,5
303,Limonada a la antigua,"6 limones, 1 taza de azúcar blanco, 6 tazas de agua o más según sea necesario",4,0,1,0,33,5
304,Alitas de pollo fáciles de limón,"2 tazas de aceite, o según sea necesario, 2 cucharadas de aceite de oliva virgen extra, 1 cucharada de condimento de pimienta de limón, 12 alitas de pollo",1191,0,21,123,0,0
305,Famosa française,"1 huevo grande, batido, 1 ½ limones medianos, jugo, dividido, 1 taza de harina de uso múltiple, 1 polvo de ajo pellizcado, 1 pimbre-pelle, 6 sin piel, mitades de pechuga de pollo deshuesadas, 2 cucharadas de mantequilla, 1 (14.5 onzas) de pollo de pollo caldo, 6 rodajas de limón, para guarnición, 2 ramitas de perejil fresco, para guarnición",275,21,32,7,1,3
306,Glaseado de limón,"½ taza de mantequilla sin sal, a temperatura ambiente, 2 cucharadas de jugo de limón, ½ cucharadita de extracto de vainilla, 3 tazas de azúcar de confitores",200,32,0,8,31,0
307,La mejor vinagreta de limón,"¼ taza de vinagre de vino tinto, 2 cucharadas de mostaza Dijon, 1 ajo de clavo, picado, 1 cucharadita de orégano seco, ½ cucharadita de sal kosher, ¼ cucharadita de pimienta negra molida, ½ taza de aceite de oliva, 2 cucharadas de jugo de limón fresco",134,2,0,14,0,0
308,Ensalada de Ojos de Sapos,"1 ¾ tazas de jugo de piña sin azúcar, 1 taza de azúcar blanca, 2 huevos, batidas, 2 cucharadas de harina para todo uso, 2 ½ cucharaditas de sal, dividida, 1 cucharada de jugo de limón, 1 cucharada de aceite vegetal, 1 (16 onzas) Paquete ACINi Di Pepe Pepe pasta, 3 (11 onzas) de naranjas de mandarina de latas, drenadas, 2 (20 onzas) latas de piña, drenado, 1 (20 onzas) de piña triturada, drenada, 1 (8 onzas) contenedor congelado batido, bigoteado, 1 taza de miniatura malvaviscos, 1 taza de coco rallado",591,114,9,11,75,4
309,Colas de langosta de freidora de aire con mantequilla de limón-ajo,"2 (4 onzas) colas de langosta, 4 cucharadas de mantequilla, 1 cucharadita de ralladura de limón, 1 ajo de clavo, rallado, sal y pimienta negra molida al gusto, 1 cucharadita de perejil fresco picado, 2 cuñas limón",318,3,18,26,0,1
310,Filetes de pescado al horno,"1 cucharada de aceite vegetal, o al gusto, 2 libras filetes de caballa, 1 cucharadita de sal, ? cucharadita de pimienta negra molida, ¼ taza de mantequilla, derretido, 2 cucharadas de jugo de limón, ? cucharadita de pimentón molido",395,1,28,31,0,0
311,Pollo con hierba de limón a la parrilla vietnamita,"2 cucharadas de aceite de canola, 2 cucharadas de hierba de limón finamente picada, 1 cucharada de jugo de limón, 2 cucharaditas un grosor uniforme",303,4,29,19,2,0
312,¡Naranja aplastada! Cóctel de naranja y vodka recién exprimido,"2 tazas de cubitos de hielo, o según sea necesario, 2 onzas fluidas de vodka con sabor a naranja, 1 licor triple de onza fluida triple, 2 naranjas de valencia, jugo, 1 refresco de limón de limón (como Sprite®), 1 porción de naranja naranja",144,35,1,0,27,1
313,El último crumble de bayas,"2 tazas de harina para todo uso, ¾ taza de azúcar blanca, ¾ cucharadita de polvo de hornear, ¼ cucharadita de sal fina, ¾ taza de mantequilla sin sal, 2 yemas de huevo grandes, 1 ½ cucharaditas de extracto de vainilla, 1 cucharadita de vineabar de manzana, o según sea necesario",423,58,5,19,31,3
314,Pastel de naranja mandarín,"1 (15.25 onzas) Paquete de la mezcla de pastel amarillo, 1 (11 onzas) segmentos de naranja de mandarín, 4 huevos grandes, 1 taza de aceite vegetal, 1 (20 onzas) Piña triturada con jugo, 1 (8 onzas) recipiente congelado batido congelado, Mezcla de budín de vainilla instantánea de 1 (3.5 onzas)",344,38,3,20,27,1
315,"Copilón cálido de limón, miel y jengibre","¼ de taza de miel, o al gusto, 1 limón, jugo, 1 cucharada de raíz de jengibre finamente rallada, ¼ cucharadita de canela molida, 3 ½ tazas de agua hirviendo",84,21,0,0,17,2
316,Cáscara de limón confitada,"3 limones, 8 tazas de agua fría, o según sea necesario, 2 tazas de azúcar blanca, o según sea necesario",116,29,0,0,27,1
317,Salmón horneado en papel,"½ taza de aceite de oliva, 5 dientes dientes de ajo, picados o presionados a través de una prensa de ajo, 2 ½ cucharadas de jugo de limón fresco, o más al sabor, 1 cucharada de azúcar morena, 1 cucharadita de orégano seco, 1 cucharadita de tineo seco, sal y negro recién molido pimienta al gusto, papel de aluminio, 1 cucharadita de aceite de oliva, 1 (3 libras) filete de salmón, ¼ taza de perejil fresco picado, 1 limón, rodajas",426,6,42,26,2,1
318,Pan de naranja de arándano,"2 tazas de harina, ¾ taza de azúcar blanca, 1 ½ cucharaditas de polvo de hornear, ¾ cucharadita de sal, ½ cucharadita de bicarbonato de sodio, ¼ de taza de mantequilla sin sal, cortada y ablandada, ¾ taza de jugo de naranja, 1 cucharada de color naranja rejilla, 1 huevo grande, Beated, 1 taza de arándanos picados, ½ taza de nueces picadas (opcionales)",320,48,5,12,22,2
319,Mermelada de frambuesa sin pectina,"4 tazas puré de frambuesas, 4 tazas de azúcar blanco, 1 cucharada de jugo de limón recién exprimido",60,15,0,0,15,1
320,Jugo de naranja fresco,4 naranjas,52,12,1,0,9,0
321,Sopa de ORZO de pollo de limón,"8 onzas de pasta orzo, 1 cucharadita de aceite de oliva, 3 zanahorias medianas, picadas, o más al gusto, 3 costillas, picado, 1 ceboll y pimienta negra molida al gusto, 1 hoja de laurel, 3 (32 onzas) Cartones sin grasa, caldo de pollo bajo en sodio, ½ taza de jugo de limón fresco, 1 limón, zestado, 8 onzas de pechuga de pollo cocida, picado, 1 (8 onzas ) Paquete de hojas de espinacas baby, 1 limón, en rodajas para guarnición (opcional), ¼ de taza de queso parmesano rallado (opcional)",172,22,12,4,4,3
322,Pastel de limón simple,"1 taza de azúcar blanca, ½ taza de mantequilla, 2 huevos grandes, 2 cucharaditas de extracto de vainilla, 1 ½ tazas de harina para todo uso, 1 ¾ cucharaditas de horno en polvo, ¾ taza de leche, 1 cucharada de calma de limón, 1 cucharada de jugo de limón",259,36,4,11,21,1
323,Sopa de pollo de limón griego,"8 tazas de caldo de pollo, ½ taza de jugo de limón fresco, ½ taza de zanahorias ralladas, ½ taza de cebolla picada, ½ taza de apio picado, 6 cucharadas de sopa de pollo base, ¼ cucharadita de pimienta blanca molida, ¼ de taza de margarina, ¼ de taza de harina para todo el uso, 8 yemas de huevo, 1 taza de arroz blanco cocido, 1 taza de carne de pollo cocida, 16 rodajas de limón",131,9,8,7,2,1
324,Galletas de limón desde cero,"1 taza de azúcar blanca, ½ taza de mantequilla, ablandado, 2 cucharadas de ralladura de limón fresco, 2 huevos, 1 cucharada de jugo de limón fresco, ½ cucharadita de extracto de vainilla, 1 tazas de harina para todo uso, 1 ½ cucharaditas de hornear en polvo, ¼ teaspoon sal, ¼ azúcar en polvo",133,20,2,5,12,0
325,Ensalada de gelatina de naranja,"1 (11 onzas) puede mandarina naranjas, drenadas, 1 (8 onzas) CAN Piña triturada, drenada, 1 (6 onzas) paquete de cazas de cabaña con sabor a naranja, 16 onzas de requesón, 8 onzas congeladas batidas, deshuesadas",276,41,10,8,35,1
326,Pollo rápido y fácil,"2 cucharadas de aceite de oliva, 1 cebolla, picada, 4 mitades de pechuga de pollo sin piel sin piel, ketchup de 3 cucharadas, 3 cucharadas de azúcar blanca, 2 cucharadas de salsa de soja, 2 cucharadas de jugo de limón, 1 cucharadita de pimienta negra molida",248,16,28,8,13,1
327,Salmón al horno de pergamino,"1 (8 onzas) Filete de salmón, sal y pimienta negra molida al gusto, ¼ de taza de hojas de albahaca picadas, aerosol de cocción de aceite de oliva, 1 limón, en rodajas finas",187,6,25,7,0,3
